# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-O" "-T" "8" "-t" "CDS" "-g" "gene_id" "-a" "/tmp/230574.1.all.q/genomes/tb927_11/tb927_11.gtf" "-o" "/tmp/230574.1.all.q/P_sub_2/counts.txt" "/tmp/230574.1.all.q/P_sub_2/P_sub_2_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/230574.1.all.q/P_sub_2/P_sub_2_sorted.bam
Tb927.9.5220	Tb927_09_v5.1	920669	920998	+	330	1456
Tb927.9.5240	Tb927_09_v5.1	922331	925138	+	2808	3632
Tb927.9.5260	Tb927_09_v5.1	925543	927009	+	1467	3270
Tb927.9.5300	Tb927_09_v5.1	927922	928746	+	825	1949
Tb927.9.5320	Tb927_09_v5.1	929806	931089	+	1284	2875
Tb927.9.5330	Tb927_09_v5.1	932456	933598	+	1143	3850
Tb927.9.5350	Tb927_09_v5.1	933978	935228	+	1251	1759
Tb927.9.5370	Tb927_09_v5.1	935818	936429	+	612	4891
Tb927.9.5380	Tb927_09_v5.1	937059	939284	+	2226	2615
Tb927.9.5390	Tb927_09_v5.1	939953	940609	+	657	561
Tb927.9.5410	Tb927_09_v5.1	942084	942977	+	894	1621
Tb927.9.5440	Tb927_09_v5.1	943765	945030	+	1266	2214
Tb927.9.5460	Tb927_09_v5.1	945458	948454	+	2997	3106
Tb927.9.5490	Tb927_09_v5.1	951113	953137	+	2025	2327
Tb927.9.5520	Tb927_09_v5.1	954383	958411	+	4029	985
Tb927.9.5590	Tb927_09_v5.1	961067	964732	+	3666	2806
Tb927.9.5620	Tb927_09_v5.1	965768	969808	+	4041	3213
Tb927.9.5630	Tb927_09_v5.1	970277	971512	+	1236	2238
Tb927.9.5650	Tb927_09_v5.1	971905	972402	+	498	4026
Tb927.9.5680	Tb927_09_v5.1	973176	975530	+	2355	5368
Tb927.9.5690	Tb927_09_v5.1	976021	976362	+	342	33223
Tb927.9.5700	Tb927_09_v5.1	976822	983265	+	6444	2890
Tb927.9.5710	Tb927_09_v5.1	983817	984854	+	1038	1378
Tb927.9.5730	Tb927_09_v5.1	985400	986668	+	1269	5008
Tb927.9.5770	Tb927_09_v5.1	987706	988305	+	600	3259
Tb927.9.5800	Tb927_09_v5.1	989089	989439	+	351	2486
Tb927.9.5860	Tb927_09_v5.1	989953	990552	+	600	3042
Tb927.9.5880	Tb927_09_v5.1;Tb927_09_v5.1	991620;992025	992996;992996	+;+	1377	4330
Tb927.9.5890	Tb927_09_v5.1	993572	994651	+	1080	5993
Tb927.9.5900	Tb927_09_v5.1	995307	998285	+	2979	1774
Tb927.9.5960	Tb927_09_v5.1	1000649	1001215	+	567	1352
Tb927.9.6010	Tb927_09_v5.1	1002379	1004247	+	1869	4302
Tb927.9.6040	Tb927_09_v5.1	1004774	1005937	+	1164	3553
Tb927.9.6060	Tb927_09_v5.1	1006583	1007404	+	822	2461
Tb927.9.6070	Tb927_09_v5.1	1008372	1009016	+	645	18373
Tb927.9.6090	Tb927_09_v5.1	1010333	1011364	+	1032	5919
Tb927.9.6100	Tb927_09_v5.1	1013074	1014105	+	1032	5071
Tb927.9.6110	Tb927_09_v5.1	1014550	1017504	+	2955	3102
Tb927.9.6130	Tb927_09_v5.1	1018085	1018558	+	474	839
Tb927.9.6150	Tb927_09_v5.1	1020208	1022583	+	2376	4511
Tb927.9.6160	Tb927_09_v5.1	1023184	1026621	+	3438	10220
Tb927.9.6210	Tb927_09_v5.1	1027075	1028289	+	1215	4059
Tb927.9.6250	Tb927_09_v5.1	1029465	1030577	+	1113	1539
Tb927.9.6270	Tb927_09_v5.1	1031274	1032800	+	1527	4218
Tb927.9.6290	Tb927_09_v5.1	1033220	1034290	+	1071	3638
Tb927.9.6310	Tb927_09_v5.1	1035596	1037536	+	1941	1459
Tb927.9.6320	Tb927_09_v5.1	1039345	1040220	+	876	1532
Tb927.9.6350	Tb927_09_v5.1	1040827	1041921	+	1095	1596
Tb927.9.6360	Tb927_09_v5.1	1043316	1044755	+	1440	2133
Tb927.9.6370	Tb927_09_v5.1	1045334	1046746	+	1413	1823
Tb927.9.6380	Tb927_09_v5.1	1047329	1048768	+	1440	3218
Tb927.9.6390	Tb927_09_v5.1	1049407	1050030	+	624	3282
Tb927.9.6410	Tb927_09_v5.1	1050763	1052775	+	2013	3607
Tb927.9.6420	Tb927_09_v5.1	1053702	1054616	+	915	3081
Tb927.9.6430	Tb927_09_v5.1	1055028	1057949	+	2922	2880
Tb927.9.6440	Tb927_09_v5.1	1058429	1058683	+	255	903
Tb927.9.6450	Tb927_09_v5.1	1059300	1060661	+	1362	2434
Tb927.9.6460	Tb927_09_v5.1	1061318	1065880	+	4563	2445
Tb927.9.6470	Tb927_09_v5.1	1066294	1066998	+	705	1486
Tb927.9.6510	Tb927_09_v5.1	1068920	1070920	+	2001	2995
Tb927.9.6530	Tb927_09_v5.1	1072870	1075935	+	3066	2055
Tb927.9.6560	Tb927_09_v5.1	1077469	1079649	+	2181	516
Tb927.9.6570	Tb927_09_v5.1	1082566	1083015	+	450	75
Tb927.9.6580	Tb927_09_v5.1	1084574	1086742	+	2169	2490
Tb927.9.6620	Tb927_09_v5.1	1087090	1087719	+	630	3110
Tb927.9.6650	Tb927_09_v5.1	1088530	1089936	+	1407	2880
Tb927.9.6660	Tb927_09_v5.1	1090567	1092225	+	1659	3008
Tb927.9.6670	Tb927_09_v5.1	1092574	1100226	+	7653	2282
Tb927.9.6710	Tb927_09_v5.1	1103215	1105002	+	1788	3476
Tb927.9.6720	Tb927_09_v5.1	1105239	1106255	+	1017	2614
Tb927.9.6730	Tb927_09_v5.1	1107187	1108188	+	1002	3036
Tb927.9.6760	Tb927_09_v5.1	1111552	1112430	+	879	951
Tb927.9.6830	Tb927_09_v5.1	1122621	1122992	+	372	104
Tb927.9.6855	Tb927_09_v5.1	1125055	1125150	+	96	1122
Tb927.9.6870	Tb927_09_v5.1	1125929	1126375	+	447	1958
Tb927.9.6880	Tb927_09_v5.1	1126719	1128674	+	1956	4696
Tb927.9.6890	Tb927_09_v5.1	1129039	1129242	+	204	1835
Tb927.9.6910	Tb927_09_v5.1	1130249	1130737	+	489	2075
Tb927.9.6920	Tb927_09_v5.1	1130911	1131999	+	1089	2471
Tb927.9.6940	Tb927_09_v5.1	1132718	1133539	+	822	2316
Tb927.9.6960	Tb927_09_v5.1	1134803	1135825	+	1023	376
Tb927.9.7000	Tb927_09_v5.1	1137445	1138146	+	702	2884
Tb927.9.7020	Tb927_09_v5.1	1138558	1139235	+	678	2146
Tb927.9.7030	Tb927_09_v5.1	1139547	1144502	+	4956	4338
Tb927.9.7040	Tb927_09_v5.1	1144778	1146262	+	1485	1742
Tb927.9.7060	Tb927_09_v5.1	1146748	1147641	+	894	4493
Tb927.9.7070	Tb927_09_v5.1	1147880	1148794	+	915	2671
Tb927.9.7080	Tb927_09_v5.1	1149145	1149525	+	381	1966
Tb927.9.7090	Tb927_09_v5.1	1149852	1150955	+	1104	1271
Tb927.9.7100	Tb927_09_v5.1	1151354	1152094	+	741	546
Tb927.9.7110	Tb927_09_v5.1	1154238	1155125	+	888	2340
Tb927.9.7150	Tb927_09_v5.1	1156528	1160292	+	3765	3067
Tb927.9.7160	Tb927_09_v5.1	1160553	1161170	+	618	3943
Tb927.9.7170	Tb927_09_v5.1	1161475	1162890	+	1416	3591
Tb927.9.7180	Tb927_09_v5.1	1163295	1168367	+	5073	3059
Tb927.9.7190	Tb927_09_v5.1	1168992	1170329	+	1338	2863
Tb927.9.7200	Tb927_09_v5.1	1170931	1171800	+	870	3341
Tb927.9.7210	Tb927_09_v5.1	1172097	1174328	+	2232	3042
Tb927.9.7230	Tb927_09_v5.1	1174742	1175323	+	582	1630
Tb927.9.7250	Tb927_09_v5.1	1175774	1176325	+	552	1973
Tb927.9.7260	Tb927_09_v5.1	1176801	1177901	+	1101	2165
Tb927.9.7270	Tb927_09_v5.1	1179965	1180345	+	381	887
Tb927.9.7285	Tb927_09_v5.1	1181688	1181972	+	285	344
Tb927.9.7290	Tb927_09_v5.1	1184063	1185526	-	1464	19
Tb927.9.7310	Tb927_09_v5.1	1187925	1189070	-	1146	1
Tb927.9.7320	Tb927_09_v5.1	1189974	1191089	-	1116	8
Tb927.9.7330	Tb927_09_v5.1	1191257	1192675	-	1419	13
Tb927.9.7340	Tb927_09_v5.1	1196291	1197079	-	789	4
Tb927.9.7350	Tb927_09_v5.1	1199972	1200214	-	243	0
Tb927.9.7370	Tb927_09_v5.1	1205268	1206044	-	777	163
Tb927.9.7380	Tb927_09_v5.1	1207074	1208177	-	1104	64
Tb927.9.7390	Tb927_09_v5.1	1209846	1210991	-	1146	6
Tb927.9.7400	Tb927_09_v5.1	1211895	1213010	-	1116	13
Tb927.9.7410	Tb927_09_v5.1	1213179	1214597	-	1419	13
Tb927.9.7420	Tb927_09_v5.1	1218339	1219124	-	786	0
Tb927.9.7430	Tb927_09_v5.1	1220150	1221253	-	1104	72
Tb927.9.7470	Tb927_09_v5.1	1228022	1229410	-	1389	21448
Tb927.9.7480	Tb927_09_v5.1	1230260	1231774	-	1515	2083
Tb927.9.7500	Tb927_09_v5.1	1233366	1233836	-	471	425
Tb927.9.7520	Tb927_09_v5.1	1234752	1235792	-	1041	652
Tb927.9.7540	Tb927_09_v5.1	1239117	1241687	-	2571	1457
Tb927.9.7550	Tb927_09_v5.1	1243024	1244439	-	1416	2463
Tb927.9.7580	Tb927_09_v5.1	1244829	1246556	-	1728	6128
Tb927.9.7590	Tb927_09_v5.1	1246892	1247476	-	585	22513
Tb927.9.7620	Tb927_09_v5.1	1248271	1248855	-	585	37472
Tb927.9.7650	Tb927_09_v5.1	1249259	1249828	-	570	1804
Tb927.9.7670	Tb927_09_v5.1	1251064	1251771	-	708	4220
Tb927.9.7690	Tb927_09_v5.1	1253940	1259513	-	5574	1472
Tb927.9.7700	Tb927_09_v5.1	1260340	1262802	-	2463	3745
Tb927.9.7710	Tb927_09_v5.1	1263208	1263783	-	576	3490
Tb927.9.7720	Tb927_09_v5.1	1264909	1268997	-	4089	2890
Tb927.9.7740	Tb927_09_v5.1	1270305	1271270	-	966	4408
Tb927.9.7760	Tb927_09_v5.1	1272660	1275431	-	2772	1610
Tb927.9.7770	Tb927_09_v5.1	1275756	1276652	-	897	3677
Tb927.9.7800	Tb927_09_v5.1	1277071	1277865	-	795	3531
Tb927.9.7810	Tb927_09_v5.1	1278663	1279109	-	447	3278
Tb927.9.7820	Tb927_09_v5.1	1279297	1281612	-	2316	4452
Tb927.9.7830	Tb927_09_v5.1	1285094	1285696	-	603	3671
Tb927.9.7850	Tb927_09_v5.1	1295358	1296275	-	918	9
Tb927.9.7860	Tb927_09_v5.1	1296556	1297413	-	858	11
Tb927.9.7870	Tb927_09_v5.1	1301114	1302043	-	930	6
Tb927.9.7880	Tb927_09_v5.1	1302320	1303168	-	849	8
Tb927.9.7890	Tb927_09_v5.1	1305727	1306056	-	330	189
Tb927.9.7900	Tb927_09_v5.1	1306911	1307852	-	942	8
Tb927.9.7910	Tb927_09_v5.1	1308129	1308986	-	858	1
Tb927.9.7920	Tb927_09_v5.1	1311506	1311814	-	309	204
Tb927.9.7930	Tb927_09_v5.1	1312656	1313597	-	942	10
Tb927.9.7940	Tb927_09_v5.1	1313874	1314731	-	858	3
Tb927.9.7950	Tb927_09_v5.1	1318399	1319334	-	936	110
Tb927.9.7960	Tb927_09_v5.1	1319592	1320464	-	873	129
Tb927.9.7980	Tb927_09_v5.1	1323013	1323459	-	447	1033
Tb927.9.8000	Tb927_09_v5.1	1324225	1324677	-	453	2954
Tb927.9.8030	Tb927_09_v5.1	1325612	1327222	-	1611	462
Tb927.9.8040	Tb927_09_v5.1	1327725	1330427	-	2703	3310
Tb927.9.8050	Tb927_09_v5.1	1331692	1333317	-	1626	2727
Tb927.9.8060	Tb927_09_v5.1	1333765	1335495	-	1731	3881
Tb927.9.8070	Tb927_09_v5.1	1335857	1336498	-	642	25495
Tb927.9.8100	Tb927_09_v5.1	1336749	1337315	-	567	24486
Tb927.9.8130	Tb927_09_v5.1	1337717	1338283	-	567	16824
Tb927.9.8160	Tb927_09_v5.1	1339368	1340660	-	1293	1819
Tb927.9.8180	Tb927_09_v5.1	1342253	1344181	-	1929	2165
Tb927.9.8190	Tb927_09_v5.1	1344802	1345566	-	765	1578
Tb927.9.8200	Tb927_09_v5.1	1346396	1348372	-	1977	3053
Tb927.9.8210	Tb927_09_v5.1	1348638	1349738	-	1101	4051
Tb927.9.8240	Tb927_09_v5.1	1350495	1351991	-	1497	680
Tb927.9.8250	Tb927_09_v5.1	1352300	1353595	-	1296	4159
Tb927.9.8260	Tb927_09_v5.1	1354301	1355290	-	990	3063
Tb927.9.8290	Tb927_09_v5.1	1355857	1356513	-	657	2780
Tb927.9.8320	Tb927_09_v5.1	1357300	1358196	-	897	781
Tb927.9.8330	Tb927_09_v5.1	1358642	1360099	-	1458	939
Tb927.9.8350	Tb927_09_v5.1	1362358	1364172	-	1815	2387
Tb927.9.8370	Tb927_09_v5.1	1365452	1365928	-	477	1850
Tb927.9.8380	Tb927_09_v5.1	1366830	1367267	-	438	1955
Tb927.9.8400	Tb927_09_v5.1	1368175	1369932	-	1758	3450
Tb927.9.8410	Tb927_09_v5.1	1371584	1372966	-	1383	1966
Tb927.9.8420	Tb927_09_v5.1	1373453	1374094	-	642	27132
Tb927.9.8450	Tb927_09_v5.1	1374525	1375127	-	603	2632
Tb927.9.8490	Tb927_09_v5.1	1375909	1376721	-	813	2303
Tb927.9.8500	Tb927_09_v5.1	1377151	1378209	-	1059	2495
Tb927.9.8510	Tb927_09_v5.1	1378682	1380778	-	2097	8589
Tb927.9.8520	Tb927_09_v5.1	1381389	1382231	-	843	3255
Tb927.9.8540	Tb927_09_v5.1	1383326	1386142	-	2817	3751
Tb927.9.8550	Tb927_09_v5.1	1386387	1387019	-	633	6183
Tb927.9.8570	Tb927_09_v5.1	1388063	1388527	-	465	1783
Tb927.9.8580	Tb927_09_v5.1	1388787	1389179	-	393	4192
Tb927.9.8610	Tb927_09_v5.1	1389460	1391955	-	2496	4873
Tb927.9.8620	Tb927_09_v5.1	1392560	1395895	-	3336	3923
Tb927.9.8650	Tb927_09_v5.1	1396770	1397075	-	306	1925
Tb927.9.8655	Tb927_09_v5.1	1398134	1398361	-	228	546
Tb927.9.8670	Tb927_09_v5.1	1399424	1400854	-	1431	2354
Tb927.9.8680	Tb927_09_v5.1	1401265	1402080	-	816	4222
Tb927.9.8700	Tb927_09_v5.1	1402521	1403564	-	1044	4682
Tb927.9.8710	Tb927_09_v5.1	1403837	1404346	-	510	2470
Tb927.9.8720	Tb927_09_v5.1	1405009	1406061	-	1053	2219
Tb927.9.8740	Tb927_09_v5.1	1409325	1410308	-	984	1545
Tb927.9.8760	Tb927_09_v5.1	1411122	1418096	-	6975	1307
Tb927.9.8780	Tb927_09_v5.1	1418437	1420017	-	1581	2114
Tb927.9.8810	Tb927_09_v5.1	1420205	1420747	-	543	5517
Tb927.9.8815	Tb927_09_v5.1	1421155	1421415	-	261	1704
Tb927.9.8820	Tb927_09_v5.1	1422097	1425258	-	3162	5609
Tb927.9.8850	Tb927_09_v5.1	1425515	1426645	-	1131	3836
Tb927.9.8880	Tb927_09_v5.1	1427029	1428159	-	1131	7022
Tb927.9.8905	Tb927_09_v5.1	1431517	1431795	-	279	1763
Tb927.9.8950	Tb927_09_v5.1	1438016	1439299	-	1284	2701
Tb927.9.8990	Tb927_09_v5.1	1440409	1441446	-	1038	3325
Tb927.9.9000	Tb927_09_v5.1	1441901	1442971	-	1071	2827
Tb927.9.9010	Tb927_09_v5.1	1443290	1445047	-	1758	3566
Tb927.9.9020	Tb927_09_v5.1	1445312	1446436	-	1125	4226
Tb927.9.9030	Tb927_09_v5.1	1447129	1448346	-	1218	4753
Tb927.9.9060	Tb927_09_v5.1	1448681	1449253	-	573	1754
Tb927.9.9080	Tb927_09_v5.1	1449809	1450570	-	762	2190
Tb927.9.9090	Tb927_09_v5.1	1450942	1452030	-	1089	3195
Tb927.9.9100	Tb927_09_v5.1	1452678	1452932	-	255	2364
Tb927.9.9115	Tb927_09_v5.1	1453699	1453872	-	174	1438
Tb927.9.9120	Tb927_09_v5.1	1454091	1454825	-	735	3336
Tb927.9.9140	Tb927_09_v5.1	1455387	1456532	-	1146	2073
Tb927.9.9150	Tb927_09_v5.1	1456827	1458182	-	1356	3629
Tb927.9.9160	Tb927_09_v5.1	1459171	1461030	-	1860	2105
Tb927.9.9170	Tb927_09_v5.1	1461397	1462536	-	1140	2462
Tb927.9.9180	Tb927_09_v5.1	1463563	1464594	-	1032	977
Tb927.9.9190	Tb927_09_v5.1	1464910	1467030	-	2121	5393
Tb927.9.9200	Tb927_09_v5.1	1467448	1468860	-	1413	4072
Tb927.9.9210	Tb927_09_v5.1	1469243	1469497	-	255	13485
Tb927.9.9220	Tb927_09_v5.1	1469857	1471557	-	1701	5135
Tb927.9.9230	Tb927_09_v5.1	1472027	1472536	-	510	2291
Tb927.9.9260	Tb927_09_v5.1	1473251	1473745	-	495	10051
Tb927.9.9270	Tb927_09_v5.1	1474144	1475691	-	1548	7146
Tb927.9.9280	Tb927_09_v5.1	1476046	1477746	-	1701	5244
Tb927.9.9290	Tb927_09_v5.1	1478398	1480098	-	1701	3243
Tb927.9.9300	Tb927_09_v5.1	1482506	1483954	-	1449	2120
Tb927.9.9310	Tb927_09_v5.1	1484281	1487181	-	2901	3280
Tb927.9.9320	Tb927_09_v5.1	1488138	1489232	-	1095	6603
Tb927.9.9370	Tb927_09_v5.1	1496054	1496827	-	774	370
Tb927.9.9380	Tb927_09_v5.1	1497519	1498562	-	1044	1750
Tb927.9.9390	Tb927_09_v5.1	1499907	1500896	-	990	2543
Tb927.9.9400	Tb927_09_v5.1	1502412	1503383	-	972	563
Tb927.9.9410	Tb927_09_v5.1	1504707	1505720	-	1014	2535
Tb927.9.9420	Tb927_09_v5.1	1506093	1507031	-	939	3197
Tb927.9.9430	Tb927_09_v5.1	1507384	1508172	-	789	2357
Tb927.9.9450	Tb927_09_v5.1	1510087	1513179	-	3093	3090
Tb927.9.9520	Tb927_09_v5.1	1519540	1520577	-	1038	384
Tb927.9.9550	Tb927_09_v5.1	1522102	1522740	-	639	1992
Tb927.9.9580	Tb927_09_v5.1	1523803	1525776	-	1974	4353
Tb927.9.9600	Tb927_09_v5.1	1527148	1529469	-	2322	2825
Tb927.9.9610	Tb927_09_v5.1	1529867	1530193	-	327	2072
Tb927.9.9620	Tb927_09_v5.1	1531465	1532514	-	1050	2273
Tb927.9.9630	Tb927_09_v5.1	1532911	1533978	-	1068	3402
Tb927.9.9640	Tb927_09_v5.1	1534621	1537578	-	2958	4969
Tb927.9.9660	Tb927_09_v5.1	1538667	1539722	-	1056	1941
Tb927.9.9670	Tb927_09_v5.1	1540321	1541073	-	753	1956
Tb927.9.9690	Tb927_09_v5.1	1541763	1542467	-	705	2001
Tb927.9.9700	Tb927_09_v5.1	1542785	1544167	-	1383	4440
Tb927.9.9710	Tb927_09_v5.1	1544458	1545465	-	1008	1959
Tb927.9.9720	Tb927_09_v5.1	1545740	1546417	-	678	4809
Tb927.9.9730	Tb927_09_v5.1	1547449	1548648	-	1200	3287
Tb927.9.9740	Tb927_09_v5.1	1549027	1553280	-	4254	3687
Tb927.9.9750	Tb927_09_v5.1	1553756	1554439	-	684	2816
Tb927.9.9780	Tb927_09_v5.1	1555585	1556649	-	1065	2945
Tb927.9.9810	Tb927_09_v5.1	1557247	1557705	-	459	1848
Tb927.9.9820	Tb927_09_v5.1	1558099	1559166	-	1068	3477
Tb927.9.9840	Tb927_09_v5.1	1560755	1561171	-	417	3562
Tb927.9.9860	Tb927_09_v5.1	1562466	1564628	-	2163	6103
Tb927.9.9870	Tb927_09_v5.1	1565175	1566623	-	1449	3265
Tb927.9.9940	Tb927_09_v5.1	1572718	1573656	-	939	3319
Tb927.9.9950	Tb927_09_v5.1	1574159	1575628	-	1470	4106
Tb927.9.9960	Tb927_09_v5.1	1576405	1578021	-	1617	2541
Tb927.9.9970	Tb927_09_v5.1	1578635	1579981	-	1347	4239
Tb927.9.9990	Tb927_09_v5.1	1581123	1581929	-	807	3292
Tb927.9.10000	Tb927_09_v5.1	1582503	1582838	-	336	3517
Tb927.9.10010	Tb927_09_v5.1	1583566	1585038	-	1473	3095
Tb927.9.10040	Tb927_09_v5.1	1585717	1586520	-	804	1539
Tb927.9.10050	Tb927_09_v5.1	1586854	1588128	-	1275	2277
Tb927.9.10060	Tb927_09_v5.1	1588512	1588955	-	444	1690
Tb927.9.10070	Tb927_09_v5.1	1590135	1591001	-	867	4205
Tb927.9.10080	Tb927_09_v5.1	1591225	1592295	-	1071	2965
Tb927.9.10100	Tb927_09_v5.1	1593215	1597564	-	4350	1267
Tb927.9.10140	Tb927_09_v5.1	1598374	1600839	-	2466	2138
Tb927.9.10150	Tb927_09_v5.1	1601242	1603050	-	1809	3413
Tb927.9.10160	Tb927_09_v5.1	1603419	1604096	-	678	2561
Tb927.9.10170	Tb927_09_v5.1	1604537	1604785	-	249	688
Tb927.9.10190	Tb927_09_v5.1	1605552	1607573	-	2022	4151
Tb927.9.10200	Tb927_09_v5.1	1607877	1608353	-	477	1943
Tb927.9.10230	Tb927_09_v5.1	1609324	1609830	-	507	4034
Tb927.9.10250	Tb927_09_v5.1	1610699	1610926	-	228	1869
Tb927.9.10280	Tb927_09_v5.1	1616825	1617202	-	378	76
Tb927.9.10300	Tb927_09_v5.1	1617922	1618497	-	576	4244
Tb927.9.10310	Tb927_09_v5.1	1619719	1620672	-	954	2431
Tb927.9.10340	Tb927_09_v5.1	1621876	1623354	-	1479	1975
Tb927.9.10350	Tb927_09_v5.1	1624766	1625389	-	624	1610
Tb927.9.10360	Tb927_09_v5.1	1626138	1626587	-	450	1512
Tb927.9.10370	Tb927_09_v5.1	1627096	1628187	-	1092	3377
Tb927.9.10400	Tb927_09_v5.1	1628940	1630346	-	1407	4596
Tb927.9.10430	Tb927_09_v5.1	1630698	1631042	-	345	3616
Tb927.9.10440	Tb927_09_v5.1	1631439	1638161	-	6723	3605
Tb927.9.10450	Tb927_09_v5.1	1638969	1642847	-	3879	2586
Tb927.9.10470	Tb927_09_v5.1	1643436	1644467	-	1032	2127
Tb927.9.10490	Tb927_09_v5.1	1645182	1646939	-	1758	3926
Tb927.9.10500	Tb927_09_v5.1	1647431	1649020	-	1590	1951
Tb927.9.10510	Tb927_09_v5.1	1649709	1650113	-	405	1059
Tb927.9.10520	Tb927_09_v5.1	1650814	1651575	-	762	2337
Tb927.9.10530	Tb927_09_v5.1	1653298	1656429	-	3132	1589
Tb927.9.10550	Tb927_09_v5.1	1657821	1660001	-	2181	3305
Tb927.9.10560	Tb927_09_v5.1	1661479	1661985	-	507	1012
Tb927.9.10570	Tb927_09_v5.1	1662759	1663724	-	966	3718
Tb927.9.10580	Tb927_09_v5.1	1664146	1665012	-	867	2933
Tb927.9.10630	Tb927_09_v5.1	1668264	1669064	-	801	452
Tb927.9.10640	Tb927_09_v5.1	1670632	1672899	-	2268	1901
Tb927.9.10650	Tb927_09_v5.1	1686880	1687275	-	396	437
Tb927.9.10660	Tb927_09_v5.1	1687936	1688463	-	528	2706
Tb927.9.10670	Tb927_09_v5.1	1688954	1690747	-	1794	1802
Tb927.9.10680	Tb927_09_v5.1	1691144	1692124	-	981	3469
Tb927.9.10690	Tb927_09_v5.1	1692977	1694443	-	1467	3154
Tb927.9.10710	Tb927_09_v5.1	1695449	1697305	-	1857	2468
Tb927.9.10770	Tb927_09_v5.1	1700279	1701946	-	1668	21883
Tb927.9.10790	Tb927_09_v5.1	1704864	1705781	-	918	644
Tb927.9.10820	Tb927_09_v5.1	1706460	1708397	-	1938	3035
Tb927.9.10830	Tb927_09_v5.1	1708634	1709182	-	549	1739
Tb927.9.10840	Tb927_09_v5.1	1709706	1711082	-	1377	3690
Tb927.9.10850	Tb927_09_v5.1	1711493	1711762	-	270	1809
Tb927.9.10870	Tb927_09_v5.1	1713147	1714154	-	1008	1980
Tb927.9.10880	Tb927_09_v5.1	1714624	1715346	-	723	2063
Tb927.9.10890	Tb927_09_v5.1	1716196	1717002	-	807	1985
Tb927.9.10920	Tb927_09_v5.1	1718025	1721201	-	3177	3022
Tb927.9.10930	Tb927_09_v5.1	1721655	1721993	-	339	2040
Tb927.9.10950	Tb927_09_v5.1	1725010	1725873	-	864	218
Tb927.9.10960	Tb927_09_v5.1	1726927	1729032	-	2106	5071
Tb927.9.10970	Tb927_09_v5.1	1729709	1730821	-	1113	1365
Tb927.9.11000	Tb927_09_v5.1	1732341	1733003	-	663	1806
Tb927.9.11030	Tb927_09_v5.1	1736846	1737856	-	1011	308
Tb927.9.11040	Tb927_09_v5.1	1738211	1739134	-	924	2692
Tb927.9.11050	Tb927_09_v5.1	1742654	1744291	-	1638	446
Tb927.9.11070	Tb927_09_v5.1	1745706	1747691	-	1986	4017
Tb927.9.11100	Tb927_09_v5.1	1751486	1752490	-	1005	741
Tb927.9.11110	Tb927_09_v5.1	1752836	1760047	-	7212	3742
Tb927.9.11120	Tb927_09_v5.1	1761126	1762934	-	1809	4868
Tb927.9.11130	Tb927_09_v5.1	1763333	1764070	-	738	1704
Tb927.9.11140	Tb927_09_v5.1	1764390	1765820	-	1431	3337
Tb927.9.11150	Tb927_09_v5.1	1766123	1768546	-	2424	4064
Tb927.9.11220	Tb927_09_v5.1	1774954	1776024	+	1071	4638
Tb927.9.11230	Tb927_09_v5.1	1776292	1776717	+	426	3646
Tb927.9.11250	Tb927_09_v5.1	1776940	1778274	+	1335	4881
Tb927.9.11260	Tb927_09_v5.1	1778583	1779587	+	1005	3153
Tb927.9.11270	Tb927_09_v5.1	1779935	1781641	+	1707	4606
Tb927.9.11300	Tb927_09_v5.1	1782210	1783133	+	924	3421
Tb927.9.11330	Tb927_09_v5.1	1783387	1784154	+	768	2616
Tb927.9.11350	Tb927_09_v5.1	1785443	1786375	+	933	3975
Tb927.9.11360	Tb927_09_v5.1	1786666	1787700	+	1035	4129
Tb927.9.11370	Tb927_09_v5.1	1787899	1788336	+	438	1639
Tb927.9.11380	Tb927_09_v5.1	1788564	1788983	+	420	19954
Tb927.9.11410	Tb927_09_v5.1	1789175	1789594	+	420	18798
Tb927.9.11470	Tb927_09_v5.1	1789822	1790259	+	438	23553
Tb927.9.11480	Tb927_09_v5.1	1790459	1792144	+	1686	3319
Tb927.9.11490	Tb927_09_v5.1	1792681	1793118	+	438	23868
Tb927.9.11500	Tb927_09_v5.1	1794102	1796414	+	2313	3510
Tb927.9.11510	Tb927_09_v5.1	1796793	1797932	+	1140	4996
Tb927.9.11520	Tb927_09_v5.1	1798324	1800096	+	1773	3460
Tb927.9.11540	Tb927_09_v5.1	1800844	1802160	+	1317	2194
Tb927.9.11560	Tb927_09_v5.1	1803407	1804384	+	978	3689
Tb927.9.11580	Tb927_09_v5.1	1804597	1805328	+	732	2204
Tb927.9.11600	Tb927_09_v5.1	1807987	1808712	+	726	2688
Tb927.9.11640	Tb927_09_v5.1	1809972	1810712	+	741	842
Tb927.9.11660	Tb927_09_v5.1	1812634	1813314	+	681	1252
Tb927.9.11670	Tb927_09_v5.1	1814154	1817828	+	3675	4031
Tb927.9.11690	Tb927_09_v5.1	1818189	1820171	+	1983	2171
Tb927.9.11700	Tb927_09_v5.1	1821133	1821744	+	612	2186
Tb927.9.11720	Tb927_09_v5.1	1822506	1823048	+	543	574
Tb927.9.11740	Tb927_09_v5.1	1825121	1825672	+	552	1572
Tb927.9.11750	Tb927_09_v5.1	1826074	1827024	+	951	2570
