# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-O" "-T" "8" "-t" "CDS" "-g" "gene_id" "-a" "/tmp/230576.1.all.q/genomes/tb927_11/tb927_11.gtf" "-o" "/tmp/230576.1.all.q/P_tot_3/counts.txt" "/tmp/230576.1.all.q/P_tot_3/P_tot_3_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/230576.1.all.q/P_tot_3/P_tot_3_sorted.bam
Tb927.9.17170	Tb927_09_v5.1;Tb927_09_v5.1	2842087;2842188	2842185;2842847	-;-	759	0
Tb927.9.17180	Tb927_09_v5.1;Tb927_09_v5.1	2844733;2844777	2844774;2846222	-;-	1488	0
Tb927.9.17190	Tb927_09_v5.1;Tb927_09_v5.1	2848758;2849732	2849729;2849893	-;-	1134	0
Tb927.9.17200	Tb927_09_v5.1	2854871	2854975	-	105	0
Tb927.9.17240	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	2863377;2863416;2863616	2863414;2863613;2863634	+;+;+	255	0
Tb927.9.17250	Tb927_09_v5.1	2865151	2866716	+	1566	0
Tb927.9.17260	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	2868334;2868451;2869133	2868447;2869131;2869543	+;+;+	1206	0
Tb927.9.17270	Tb927_09_v5.1;Tb927_09_v5.1	2872321;2872433	2872428;2873188	+;+	864	0
Tb927.9.17280	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	2875496;2875758;2876737;2876892	2875756;2876735;2876889;2877029	+;+;+;+	1530	0
Tb927.9.17290	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	2878736;2878981;2879287	2878978;2879283;2880153	+;+;+	1413	0
Tb927.9.17310	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	2887968;2888096;2888900	2888093;2888896;2888986	-;-;-	1014	0
Tb927.9.17320	Tb927_09_v5.1;Tb927_09_v5.1	2889700;2890082	2890080;2890144	-;-	444	0
Tb927.9.17330	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	2891341;2891682;2892350	2891679;2892347;2892655	-;-;-	1311	0
Tb927.9.17340	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	2893272;2893499;2893917	2893496;2893915;2894078	-;-;-	804	0
Tb927.9.17350	Tb927_09_v5.1	2896698	2897975	-	1278	0
Tb927.9.17360	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	2899262;2899467;2900143;2900469	2899465;2900141;2900466;2900714	-;-;-;-	1449	0
Tb927.9.17370	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	2902649;2902675;2902754	2902672;2902752;2903803	-;-;-	1152	0
Tb927.9.17380	Tb927_09_v5.1	2906665	2908023	-	1359	0
Tb927.9.17390	Tb927_09_v5.1	2910048	2911421	-	1374	2
Tb927.9.17400	Tb927_09_v5.1	2913245	2913322	-	78	0
Tb927.9.17410	Tb927_09_v5.1	2913926	2915389	-	1464	0
Tb927.9.17420	Tb927_09_v5.1;Tb927_09_v5.1	2916859;2916920	2916918;2918359	-;-	1500	0
Tb927.9.17430	Tb927_09_v5.1	2920345	2921838	-	1494	0
Tb927.9.17440	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	2923968;2924051;2924115;2924513	2924048;2924113;2924510;2925484	-;-;-;-	1512	2
Tb927.9.17450	Tb927_09_v5.1;Tb927_09_v5.1	2926871;2927047	2927044;2927595	-;-	723	0
Tb927.9.17460	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	2930310;2930458;2930573	2930453;2930571;2930911	-;-;-	597	0
Tb927.9.17470	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	2936126;2936140;2936465	2936137;2936463;2937304	-;-;-	1176	0
Tb927.9.17480	Tb927_09_v5.1	2940120	2941121	-	1002	0
Tb927.9.17490	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	2943197;2943249;2943461	2943247;2943458;2944165	-;-;-	966	3
Tb927.9.17500	Tb927_09_v5.1	2945082	2945516	-	435	0
Tb927.9.17510	Tb927_09_v5.1	2946661	2947821	-	1161	0
Tb927.9.17520	Tb927_09_v5.1	2950690	2952018	-	1329	0
Tb927.9.17530	Tb927_09_v5.1	2954107	2954352	-	246	1
Tb927.9.17550	Tb927_09_v5.1	2959522	2959680	+	159	0
Tb927.9.17570	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	2961642;2962703;2962825	2962700;2962822;2963001	+;+;+	1356	0
Tb927.9.17580	Tb927_09_v5.1	2964315	2965280	+	966	1
Tb927.9.17590	Tb927_09_v5.1	2967320	2967586	+	267	0
Tb927.9.17600	Tb927_09_v5.1	2970543	2972153	+	1611	1
Tb927.9.17610	Tb927_09_v5.1	2973028	2973174	+	147	0
Tb927.9.17620	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	2974459;2974586;2975377;2975754;2975816	2974581;2975375;2975751;2975813;2975967	+;+;+;+;+	1500	0
Tb927.9.17630	Tb927_09_v5.1;Tb927_09_v5.1	2976401;2976550	2976547;2976729	+;+	327	0
Tb927.9.17640	Tb927_09_v5.1	2981267	2981647	-	381	10
Tb927.9.17660	Tb927_09_v5.1	2987132	2987719	-	588	0
Tb927.9.17670	Tb927_09_v5.1	2988662	2989123	-	462	0
Tb927.9.17680	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	2990299;2990668;2991275	2990665;2991273;2991723	-;-;-	1422	0
Tb927.9.17690	Tb927_09_v5.1;Tb927_09_v5.1	2995587;2995683	2995680;2995888	-;-	300	0
Tb927.9.17700	Tb927_09_v5.1	2996871	2998271	-	1401	0
Tb927.9.17720	Tb927_09_v5.1	2999976	3000293	-	318	0
Tb927.9.17730	Tb927_09_v5.1	3000877	3001368	-	492	0
Tb927.9.17740	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	3002876;3002923;3003300	3002920;3003296;3003711	-;-;-	831	0
Tb927.9.17750	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	3006027;3006194;3006681	3006192;3006679;3007636	-;-;-	1608	0
Tb927.9.17760	Tb927_09_v5.1	3007911	3008186	-	276	0
Tb927.9.17770	Tb927_09_v5.1;Tb927_09_v5.1	3009515;3009607	3009605;3011015	-;-	1500	0
Tb927.9.17780	Tb927_09_v5.1	3012583	3013077	-	495	0
Tb927.9.17810	Tb927_09_v5.1;Tb927_09_v5.1	3019521;3020030	3020028;3020118	+;+	597	0
Tb927.9.17820	Tb927_09_v5.1	3023621	3023698	+	78	0
Tb927.9.17830	Tb927_09_v5.1;Tb927_09_v5.1	3024742;3026275	3026236;3026450	+;+	1671	0
Tb927.9.17850	Tb927_09_v5.1	3028072	3029541	+	1470	0
Tb927.9.17870	Tb927_09_v5.1;Tb927_09_v5.1	3030678;3030763	3030761;3030807	+;+	129	0
Tb927.9.17880	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	3032673;3032805;3033270;3033571;3034146	3032801;3033267;3033569;3034143;3034171	+;+;+;+;+	1491	0
Tb927.9.17890	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	3036398;3036817;3037169;3037537;3037610	3036815;3037167;3037534;3037608;3037626	+;+;+;+;+	1224	0
Tb927.9.17900	Tb927_09_v5.1;Tb927_09_v5.1	3039010;3039286	3039282;3039693	+;+	681	0
Tb927.9.17910	Tb927_09_v5.1	3040191	3041792	+	1602	0
Tb927.9.17930	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	3043547;3044501;3044784;3044798	3044498;3044782;3044794;3045382	+;+;+;+	1830	0
Tb927.9.17940	Tb927_09_v5.1	3049990	3050493	-	504	2
Tb927.9.17950	Tb927_09_v5.1	3051310	3051519	-	210	0
Tb927.9.17960	Tb927_09_v5.1;Tb927_09_v5.1	3054561;3055976	3055973;3056122	-;-	1560	0
Tb927.9.17970	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	3058403;3058451;3058708	3058448;3058705;3059822	-;-;-	1416	0
Tb927.9.17980	Tb927_09_v5.1	3061441	3062379	-	939	0
Tb927.9.17990	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	3064405;3064452;3064763	3064449;3064759;3065435	-;-;-	1026	0
Tb927.9.18000	Tb927_09_v5.1	3068622	3068780	-	159	0
Tb927.9.18010	Tb927_09_v5.1;Tb927_09_v5.1	3072749;3073805	3073802;3074016	-;-	1266	0
Tb927.9.18040	Tb927_09_v5.1;Tb927_09_v5.1	3077483;3078298	3078296;3078908	-;-	1425	0
Tb927.9.18050	Tb927_09_v5.1	3080021	3081514	-	1494	0
Tb927.9.18070	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	3083824;3083953;3084699;3085039;3085263	3083950;3084696;3085037;3085260;3085393	-;-;-;-;-	1563	0
Tb927.9.18080	Tb927_09_v5.1;Tb927_09_v5.1	3087307;3087559	3087556;3088628	-;-	1320	0
Tb927.9.18100	Tb927_09_v5.1;Tb927_09_v5.1	3095135;3095759	3095756;3096024	-;-	888	0
Tb927.9.18110	Tb927_09_v5.1;Tb927_09_v5.1	3097492;3097554	3097552;3099001	-;-	1509	0
Tb927.9.18120	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	3101044;3101094;3101660;3102004	3101092;3101657;3102001;3102374	-;-;-;-	1326	0
Tb927.9.18130	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	3104456;3104500;3104564	3104498;3104562;3105939	-;-;-	1482	1
Tb927.9.18140	Tb927_09_v5.1;Tb927_09_v5.1	3107735;3107803	3107801;3108053	-;-	318	0
Tb927.10.10	Tb927_10_v5.1	1486	2862	-	1377	0
Tb927.10.20	Tb927_10_v5.1	10562	11533	-	972	0
Tb927.10.30	Tb927_10_v5.1	20305	21675	-	1371	2
Tb927.10.40	Tb927_10_v5.1	23060	23503	+	444	43
Tb927.10.60	Tb927_10_v5.1	27790	28599	-	810	1
Tb927.10.70	Tb927_10_v5.1	38612	40018	-	1407	344
Tb927.10.90	Tb927_10_v5.1	46932	47252	-	321	6
Tb927.10.100	Tb927_10_v5.1	48470	49831	-	1362	318
Tb927.10.110	Tb927_10_v5.1	53636	55117	-	1482	365
Tb927.10.120	Tb927_10_v5.1	56199	56675	-	477	87
Tb927.10.130	Tb927_10_v5.1	58920	59393	+	474	135
Tb927.10.140	Tb927_10_v5.1	64685	65098	+	414	26
Tb927.10.150	Tb927_10_v5.1;Tb927_10_v5.1	68603;68681	69205;69205	+;+	603	778
Tb927.10.160	Tb927_10_v5.1;Tb927_10_v5.1	69390;69546	70517;70517	+;+	1128	1574
Tb927.10.170	Tb927_10_v5.1	70843	72126	+	1284	4154
Tb927.10.180	Tb927_10_v5.1	72375	73292	+	918	6083
Tb927.10.190	Tb927_10_v5.1	73558	74310	+	753	20997
Tb927.10.200	Tb927_10_v5.1	74522	75097	+	576	3082
Tb927.10.210	Tb927_10_v5.1	75527	76912	+	1386	2683
Tb927.10.220	Tb927_10_v5.1	77130	77411	+	282	6979
Tb927.10.230	Tb927_10_v5.1	77658	78398	+	741	3331
Tb927.10.240	Tb927_10_v5.1	78627	79727	+	1101	2297
Tb927.10.250	Tb927_10_v5.1	79978	82149	+	2172	1960
Tb927.10.260	Tb927_10_v5.1	82453	82686	+	234	751
Tb927.10.270	Tb927_10_v5.1	83385	83783	+	399	14110
Tb927.10.280	Tb927_10_v5.1	84036	84512	+	477	4632
Tb927.10.290	Tb927_10_v5.1	84898	85593	+	696	2492
Tb927.10.300	Tb927_10_v5.1	86045	86809	+	765	630
Tb927.10.310	Tb927_10_v5.1	87477	89153	+	1677	2160
Tb927.10.320	Tb927_10_v5.1	91927	92322	+	396	301
Tb927.10.330	Tb927_10_v5.1	92649	93956	+	1308	1623
Tb927.10.340	Tb927_10_v5.1	94250	95137	+	888	800
Tb927.10.350	Tb927_10_v5.1	96402	97940	+	1539	626
Tb927.10.360	Tb927_10_v5.1	100266	101177	+	912	997
Tb927.10.370	Tb927_10_v5.1	101719	102258	+	540	311
Tb927.10.380	Tb927_10_v5.1	102867	103895	+	1029	856
Tb927.10.390	Tb927_10_v5.1	104432	104881	+	450	958
Tb927.10.400	Tb927_10_v5.1	106605	107084	+	480	544
Tb927.10.410	Tb927_10_v5.1	108290	109723	+	1434	329
Tb927.10.420	Tb927_10_v5.1	110936	113665	+	2730	2775
Tb927.10.430	Tb927_10_v5.1	114042	115163	+	1122	2245
Tb927.10.440	Tb927_10_v5.1	115475	115879	+	405	394
Tb927.10.450	Tb927_10_v5.1	116687	118612	+	1926	3104
Tb927.10.460	Tb927_10_v5.1	119555	121849	+	2295	774
Tb927.10.470	Tb927_10_v5.1	123321	124898	+	1578	2214
Tb927.10.480	Tb927_10_v5.1	126384	127685	+	1302	53
Tb927.10.510	Tb927_10_v5.1	132214	133218	+	1005	1196
Tb927.10.520	Tb927_10_v5.1	134180	135370	+	1191	9567
Tb927.10.530	Tb927_10_v5.1	136380	138446	+	2067	118
Tb927.10.540	Tb927_10_v5.1	140816	142126	+	1311	2609
Tb927.10.550	Tb927_10_v5.1	145039	146133	+	1095	741
Tb927.10.560	Tb927_10_v5.1	147113	147637	+	525	17582
Tb927.10.570	Tb927_10_v5.1	148241	153298	+	5058	2293
Tb927.10.580	Tb927_10_v5.1	153636	154352	+	717	277
Tb927.10.590	Tb927_10_v5.1	154874	157015	+	2142	1125
Tb927.10.600	Tb927_10_v5.1	157880	159505	+	1626	2586
Tb927.10.610	Tb927_10_v5.1	160415	161389	+	975	339
Tb927.10.620	Tb927_10_v5.1	164627	166231	+	1605	1132
Tb927.10.630	Tb927_10_v5.1	167947	169920	+	1974	1241
Tb927.10.640	Tb927_10_v5.1	170420	172774	+	2355	2648
Tb927.10.650	Tb927_10_v5.1	173390	174052	+	663	818
Tb927.10.660	Tb927_10_v5.1	174738	175988	+	1251	1412
Tb927.10.670	Tb927_10_v5.1	176446	177126	+	681	551
Tb927.10.680	Tb927_10_v5.1	177451	178323	+	873	692
Tb927.10.690	Tb927_10_v5.1	178765	179769	+	1005	823
Tb927.10.700	Tb927_10_v5.1	180036	180821	+	786	977
Tb927.10.710	Tb927_10_v5.1	181482	182342	+	861	396
Tb927.10.720	Tb927_10_v5.1	183174	186425	+	3252	4103
Tb927.10.730	Tb927_10_v5.1	187414	188820	+	1407	792
Tb927.10.740	Tb927_10_v5.1	190483	194583	+	4101	2832
Tb927.10.750	Tb927_10_v5.1	195904	196284	+	381	1022
Tb927.10.760	Tb927_10_v5.1	197284	198342	+	1059	1115
Tb927.10.770	Tb927_10_v5.1	199198	201096	+	1899	2602
Tb927.10.780	Tb927_10_v5.1	201676	202197	+	522	317
Tb927.10.790	Tb927_10_v5.1	203928	204647	+	720	977
Tb927.10.800	Tb927_10_v5.1	206189	207409	+	1221	1348
Tb927.10.810	Tb927_10_v5.1	208873	210684	+	1812	2127
Tb927.10.820	Tb927_10_v5.1	212506	213543	+	1038	1531
Tb927.10.830	Tb927_10_v5.1	215236	216018	+	783	1216
Tb927.10.840	Tb927_10_v5.1	218290	223449	+	5160	2324
Tb927.10.850	Tb927_10_v5.1	225146	229654	+	4509	4635
Tb927.10.870	Tb927_10_v5.1	230685	234740	+	4056	2913
Tb927.10.880	Tb927_10_v5.1	235872	237239	+	1368	1491
Tb927.10.890	Tb927_10_v5.1	238326	246995	+	8670	4611
Tb927.10.900	Tb927_10_v5.1	248483	248998	+	516	830
Tb927.10.910	Tb927_10_v5.1	249357	251747	+	2391	2055
Tb927.10.920	Tb927_10_v5.1	252291	253184	+	894	547
Tb927.10.930	Tb927_10_v5.1	253573	255510	+	1938	1381
Tb927.10.940	Tb927_10_v5.1	257645	258271	+	627	947
Tb927.10.950	Tb927_10_v5.1	258541	259947	+	1407	1360
Tb927.10.960	Tb927_10_v5.1	260318	262147	+	1830	1086
Tb927.10.970	Tb927_10_v5.1	262544	267814	+	5271	5957
Tb927.10.980	Tb927_10_v5.1	268283	270103	+	1821	1537
Tb927.10.990	Tb927_10_v5.1	270852	272006	+	1155	308
Tb927.10.1000	Tb927_10_v5.1	273248	273730	+	483	1471
Tb927.10.1010	Tb927_10_v5.1	275676	276170	+	495	10
Tb927.10.1020	Tb927_10_v5.1	276184	276657	+	474	6
Tb927.10.1030	Tb927_10_v5.1	279141	280535	-	1395	3214
Tb927.10.1040	Tb927_10_v5.1	280857	282251	-	1395	2267
Tb927.10.1050	Tb927_10_v5.1	282866	284266	-	1401	1382
Tb927.10.1060	Tb927_10_v5.1	285796	287406	-	1611	8290
Tb927.10.1070	Tb927_10_v5.1	288355	289260	-	906	1581
Tb927.10.1080	Tb927_10_v5.1	290023	290454	-	432	16838
Tb927.10.1090	Tb927_10_v5.1	290835	291266	-	432	21395
Tb927.10.1100	Tb927_10_v5.1	291728	292297	-	570	24367
Tb927.10.1110	Tb927_10_v5.1	293830	299226	-	5397	3317
Tb927.10.1120	Tb927_10_v5.1	301439	303280	-	1842	1788
Tb927.10.1130	Tb927_10_v5.1	303908	304732	-	825	484
Tb927.10.1140	Tb927_10_v5.1	305185	306648	-	1464	600
Tb927.10.1150	Tb927_10_v5.1	306985	309987	-	3003	1239
Tb927.10.1160	Tb927_10_v5.1	310584	311030	-	447	573
Tb927.10.1170	Tb927_10_v5.1	312228	317471	-	5244	3245
Tb927.10.1180	Tb927_10_v5.1	317993	319438	-	1446	1171
Tb927.10.1190	Tb927_10_v5.1	320454	322607	-	2154	561
Tb927.10.1200	Tb927_10_v5.1	322922	323959	-	1038	436
Tb927.10.1210	Tb927_10_v5.1	324529	326571	-	2043	1335
Tb927.10.1220	Tb927_10_v5.1	328820	329260	-	441	52
Tb927.10.1230	Tb927_10_v5.1	333298	334326	-	1029	1681
Tb927.10.1240	Tb927_10_v5.1	334875	335633	-	759	1049
Tb927.10.1250	Tb927_10_v5.1	336118	336903	-	786	2649
Tb927.10.1260	Tb927_10_v5.1	337360	338985	-	1626	2846
Tb927.10.1270	Tb927_10_v5.1	339476	342973	-	3498	2870
Tb927.10.1280	Tb927_10_v5.1	343461	343982	-	522	1175
Tb927.10.1290	Tb927_10_v5.1	344417	344668	-	252	249
Tb927.10.1300	Tb927_10_v5.1	345340	346608	-	1269	292
Tb927.10.1310	Tb927_10_v5.1	346870	349704	-	2835	3136
Tb927.10.1320	Tb927_10_v5.1	350171	352318	-	2148	2111
Tb927.10.1330	Tb927_10_v5.1	352678	354486	-	1809	1556
Tb927.10.1340	Tb927_10_v5.1	354997	356622	-	1626	1999
Tb927.10.1350	Tb927_10_v5.1	357720	359672	-	1953	1282
Tb927.10.1370	Tb927_10_v5.1	360398	361249	-	852	1324
Tb927.10.1380	Tb927_10_v5.1	362366	365329	-	2964	2622
Tb927.10.1390	Tb927_10_v5.1	366820	367524	-	705	2820
Tb927.10.1400	Tb927_10_v5.1	368728	369360	-	633	2015
Tb927.10.1410	Tb927_10_v5.1	369755	370489	-	735	1653
Tb927.10.1420	Tb927_10_v5.1	371916	373307	-	1392	3959
Tb927.10.1430	Tb927_10_v5.1	374347	375084	-	738	513
Tb927.10.1440	Tb927_10_v5.1	375821	376468	-	648	1804
Tb927.10.1450	Tb927_10_v5.1	377887	386505	-	8619	5890
Tb927.10.1460	Tb927_10_v5.1	387760	390300	-	2541	1793
Tb927.10.1470	Tb927_10_v5.1	391151	391783	-	633	1889
Tb927.10.1480	Tb927_10_v5.1	392896	393372	-	477	646
Tb927.10.1490	Tb927_10_v5.1	397209	400871	-	3663	2697
Tb927.10.1500	Tb927_10_v5.1	401939	404260	-	2322	6813
Tb927.10.1510	Tb927_10_v5.1	406644	413624	-	6981	7058
Tb927.10.1520	Tb927_10_v5.1	415021	415830	-	810	1405
Tb927.10.1530	Tb927_10_v5.1	416353	418800	-	2448	1617
Tb927.10.1540	Tb927_10_v5.1	422959	424653	-	1695	944
Tb927.10.1550	Tb927_10_v5.1	426281	427729	-	1449	2658
Tb927.10.1560	Tb927_10_v5.1	428589	431072	-	2484	4942
Tb927.10.1570	Tb927_10_v5.1	432594	432950	-	357	2606
Tb927.10.1580	Tb927_10_v5.1	433322	433666	-	345	522
Tb927.10.1590	Tb927_10_v5.1	434790	435119	-	330	10736
Tb927.10.1600	Tb927_10_v5.1	435510	436583	-	1074	1308
Tb927.10.1610	Tb927_10_v5.1	437585	438028	-	444	2072
Tb927.10.1615	Tb927_10_v5.1	438361	438549	-	189	696
Tb927.10.1620	Tb927_10_v5.1	440187	441854	-	1668	1716
Tb927.10.1630	Tb927_10_v5.1	442671	444566	-	1896	3041
Tb927.10.1640	Tb927_10_v5.1	445829	446212	-	384	41
Tb927.10.1650	Tb927_10_v5.1	446333	446851	-	519	89
Tb927.10.1660	Tb927_10_v5.1	447045	447932	-	888	1068
Tb927.10.1670	Tb927_10_v5.1	448165	448542	-	378	36
Tb927.10.1680	Tb927_10_v5.1	453285	454451	+	1167	1087
Tb927.10.1690	Tb927_10_v5.1	454685	455623	+	939	1554
Tb927.10.1700	Tb927_10_v5.1	455842	457329	+	1488	1928
Tb927.10.1710	Tb927_10_v5.1	457807	459384	+	1578	2235
Tb927.10.1720	Tb927_10_v5.1	459574	461364	+	1791	2144
Tb927.10.1730	Tb927_10_v5.1	461717	462790	+	1074	1499
Tb927.10.1740	Tb927_10_v5.1	463027	464175	+	1149	1273
Tb927.10.1750	Tb927_10_v5.1	464495	465223	+	729	692
Tb927.10.1760	Tb927_10_v5.1	465937	466431	+	495	257
Tb927.10.1770	Tb927_10_v5.1	467113	467907	-	795	363
Tb927.10.1780	Tb927_10_v5.1	468247	468468	-	222	85
Tb927.10.1790	Tb927_10_v5.1	474247	474624	-	378	32
Tb927.10.1800	Tb927_10_v5.1	476009	477034	+	1026	417
Tb927.10.1810	Tb927_10_v5.1	477290	477610	+	321	468
Tb927.10.1820	Tb927_10_v5.1	477853	478647	+	795	842
Tb927.10.1830	Tb927_10_v5.1	480135	480827	+	693	1004
Tb927.10.1840	Tb927_10_v5.1	481005	482555	+	1551	1783
Tb927.10.1850	Tb927_10_v5.1	482620	483921	+	1302	1936
Tb927.10.1860	Tb927_10_v5.1	484268	485350	+	1083	1589
Tb927.10.1870	Tb927_10_v5.1;Tb927_10_v5.1	486998;487088	487543;487543	+;+	546	1047
Tb927.10.1880	Tb927_10_v5.1	487921	488496	+	576	1320
Tb927.10.1890	Tb927_10_v5.1	489021	493805	+	4785	5694
Tb927.10.1900	Tb927_10_v5.1	494359	496779	+	2421	1058
Tb927.10.1910	Tb927_10_v5.1	498499	503103	+	4605	3416
Tb927.10.1920	Tb927_10_v5.1	503954	504391	+	438	275
Tb927.10.1930	Tb927_10_v5.1	504445	506388	+	1944	2633
Tb927.10.1940	Tb927_10_v5.1	507302	508339	+	1038	349
Tb927.10.1950	Tb927_10_v5.1	508699	510834	+	2136	2128
Tb927.10.1960	Tb927_10_v5.1	511172	513418	+	2247	3159
Tb927.10.1970	Tb927_10_v5.1	513794	518011	+	4218	3669
Tb927.10.1980	Tb927_10_v5.1	519240	521360	+	2121	1774
Tb927.10.1990	Tb927_10_v5.1	521750	524341	+	2592	5582
Tb927.10.2000	Tb927_10_v5.1;Tb927_10_v5.1	524725;524872	526401;526401	+;+	1677	2094
Tb927.10.2010	Tb927_10_v5.1	526772	528187	+	1416	5771
Tb927.10.2020	Tb927_10_v5.1	529818	531233	+	1416	6428
Tb927.10.2030	Tb927_10_v5.1	531767	533608	+	1842	1637
Tb927.10.2040	Tb927_10_v5.1	534252	536873	+	2622	2863
Tb927.10.2050	Tb927_10_v5.1	537989	539227	+	1239	1588
Tb927.10.2060	Tb927_10_v5.1	539658	542558	+	2901	2869
Tb927.10.2070	Tb927_10_v5.1	542894	543493	+	600	696
Tb927.10.2080	Tb927_10_v5.1	544144	544893	+	750	564
Tb927.10.2090	Tb927_10_v5.1	545058	546407	+	1350	35982
Tb927.10.2100	Tb927_10_v5.1	547234	548583	+	1350	33251
Tb927.10.2110	Tb927_10_v5.1	549417	550766	+	1350	38425
Tb927.10.2120	Tb927_10_v5.1	551321	551905	+	585	668
Tb927.10.2130	Tb927_10_v5.1	552270	554795	+	2526	2254
Tb927.10.2140	Tb927_10_v5.1	555186	556625	+	1440	2051
Tb927.10.2150	Tb927_10_v5.1	557250	557894	+	645	625
Tb927.10.2160	Tb927_10_v5.1	558737	559252	+	516	1072
Tb927.10.2170	Tb927_10_v5.1	559890	560081	+	192	236
Tb927.10.2180	Tb927_10_v5.1	560290	561714	+	1425	900
Tb927.10.2190	Tb927_10_v5.1	562299	563183	+	885	2840
Tb927.10.2200	Tb927_10_v5.1	565746	566762	+	1017	725
Tb927.10.2210	Tb927_10_v5.1	567824	569812	+	1989	1302
Tb927.10.2220	Tb927_10_v5.1	571446	574754	+	3309	1590
Tb927.10.2230	Tb927_10_v5.1	575971	577773	+	1803	1542
Tb927.10.2240	Tb927_10_v5.1	578334	580100	+	1767	5477
Tb927.10.2250	Tb927_10_v5.1	582081	582980	+	900	574
Tb927.10.2260	Tb927_10_v5.1	584741	587095	+	2355	2516
Tb927.10.2270	Tb927_10_v5.1	587863	590664	+	2802	3833
Tb927.10.2280	Tb927_10_v5.1	592248	593771	+	1524	303
Tb927.10.2290	Tb927_10_v5.1	594549	595799	+	1251	2320
Tb927.10.2300	Tb927_10_v5.1	597023	597601	+	579	464
Tb927.10.2310	Tb927_10_v5.1	597951	599396	+	1446	1702
Tb927.10.2320	Tb927_10_v5.1	599823	600968	+	1146	1471
Tb927.10.2330	Tb927_10_v5.1	601411	602241	+	831	1180
Tb927.10.2340	Tb927_10_v5.1	603573	603866	+	294	467
Tb927.10.2350	Tb927_10_v5.1	604925	605707	+	783	2485
Tb927.10.2360	Tb927_10_v5.1	606123	606692	+	570	2175
Tb927.10.2370	Tb927_10_v5.1	607374	608381	+	1008	5250
Tb927.10.2380	Tb927_10_v5.1	609418	612168	+	2751	3419
Tb927.10.2390	Tb927_10_v5.1	613708	614847	+	1140	135
Tb927.10.2400	Tb927_10_v5.1	619664	620086	-	423	44
Tb927.10.2410	Tb927_10_v5.1	620835	622610	-	1776	691
Tb927.10.2420	Tb927_10_v5.1	624378	624824	-	447	182
Tb927.10.2430	Tb927_10_v5.1	624993	628721	-	3729	1660
Tb927.10.2440	Tb927_10_v5.1	630862	631923	-	1062	571
Tb927.10.2450	Tb927_10_v5.1	635686	636054	-	369	60
Tb927.10.2460	Tb927_10_v5.1;Tb927_10_v5.1	638193;638376	640346;640346	+;+	2154	1868
Tb927.10.2470	Tb927_10_v5.1	640940	642592	+	1653	2650
Tb927.10.2480	Tb927_10_v5.1	643732	646590	+	2859	2173
Tb927.10.2490	Tb927_10_v5.1	648370	650046	+	1677	1385
Tb927.10.2500	Tb927_10_v5.1	651619	652683	+	1065	419
Tb927.10.2510	Tb927_10_v5.1	653614	655191	+	1578	1789
Tb927.10.2520	Tb927_10_v5.1	655423	657621	+	2199	2789
Tb927.10.2530	Tb927_10_v5.1	658114	658782	+	669	2516
Tb927.10.2540	Tb927_10_v5.1	660803	661492	+	690	905
Tb927.10.2550	Tb927_10_v5.1	661767	662840	+	1074	1085
Tb927.10.2560	Tb927_10_v5.1	663281	664237	+	957	18839
Tb927.10.2570	Tb927_10_v5.1	664909	667902	+	2994	3902
