# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-O" "-T" "8" "-t" "CDS" "-g" "gene_id" "-a" "/tmp/230569.1.all.q/genomes/tb927_11/tb927_11.gtf" "-o" "/tmp/230569.1.all.q/P_pol_1/counts.txt" "/tmp/230569.1.all.q/P_pol_1/P_pol_1_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/230569.1.all.q/P_pol_1/P_pol_1_sorted.bam
Tb927.5.5150	Tb927_05_v5.1	1605622	1607136	-	1515	0
Tb927.5.5160	Tb927_05_v5.1	1608578	1610215	-	1638	0
Tb927.5.5170	Tb927_05_v5.1	1611701	1613242	-	1542	0
Tb927.5.5180	Tb927_05_v5.1	1613716	1614528	-	813	0
Tb927.5.5190	Tb927_05_v5.1	1615777	1617246	-	1470	0
Tb927.5.5200	Tb927_05_v5.1	1617299	1618450	-	1152	0
Tb927.5.5210	Tb927_05_v5.1	1619947	1621392	-	1446	0
Tb927.5.5220	Tb927_05_v5.1	1624178	1625641	-	1464	0
Tb927.5.5230	Tb927_05_v5.1	1626329	1627435	-	1107	0
Tb927.5.5240	Tb927_05_v5.1	1628255	1629760	-	1506	0
Tb927.5.5250	Tb927_05_v5.1	1630876	1631172	-	297	0
Tb927.5.5260	Tb927_05_v5.1	1631685	1633265	-	1581	0
Tb927.5.5270	Tb927_05_v5.1	1634605	1636008	-	1404	0
Tb927.5.5280	Tb927_05_v5.1	1637477	1639048	-	1572	0
Tb927.5.5290	Tb927_05_v5.1	1640620	1642161	-	1542	0
Tb927.5.5300	Tb927_05_v5.1	1643786	1645297	-	1512	0
Tb927.5.5310	Tb927_05_v5.1	1647736	1649178	-	1443	0
Tb927.5.5320	Tb927_05_v5.1	1651500	1653035	-	1536	0
Tb927.5.5330	Tb927_05_v5.1	1655041	1656573	-	1533	0
Tb927.5.5340	Tb927_05_v5.1	1656996	1657997	-	1002	0
Tb927.5.5350	Tb927_05_v5.1	1659313	1659732	-	420	0
Tb927.5.5360	Tb927_05_v5.1	1665295	1665675	-	381	0
Tb927.5.5370	Tb927_05_v5.1	1666953	1668413	-	1461	0
Tb927.5.5380	Tb927_05_v5.1	1669559	1670983	-	1425	0
Tb927.5.5390	Tb927_05_v5.1	1672390	1673892	-	1503	0
Tb927.5.5400	Tb927_05_v5.1	1677925	1679547	+	1623	0
Tb927.5.5410	Tb927_05_v5.1	1681440	1682828	+	1389	0
Tb927.5.5420	Tb927_05_v5.1	1693597	1694949	-	1353	0
Tb927.5.5430	Tb927_05_v5.1	1697631	1699160	-	1530	0
Tb927.5.5440	Tb927_05_v5.1	1701516	1702952	-	1437	0
Tb927.5.5450	Tb927_05_v5.1	1705007	1706413	-	1407	0
Tb927.5.5460	Tb927_05_v5.1	1713941	1715419	-	1479	0
Tb927.5.5470	Tb927_05_v5.1	1716535	1717869	-	1335	0
Tb927.5.5480	Tb927_05_v5.1	1719965	1721488	-	1524	0
Tb927.5.5490	Tb927_05_v5.1	1724309	1725643	-	1335	1
Tb927.5.5500	Tb927_05_v5.1	1727991	1729424	-	1434	7
Tb927.5.5510	Tb927_05_v5.1	1731932	1733473	-	1542	0
Tb927.5.5520	Tb927_05_v5.1	1735541	1736992	-	1452	0
Tb927.5.5530	Tb927_05_v5.1	1738208	1739713	-	1506	0
Tb927.5.5540	Tb927_05_v5.1	1741682	1743115	-	1434	0
Tb927.5.5550	Tb927_05_v5.1	1745246	1746634	-	1389	0
Tb927.5.5560	Tb927_05_v5.1	1748375	1749835	-	1461	0
Tb927.5.5570	Tb927_05_v5.1	1751303	1752808	-	1506	0
Tb927.5.5580	Tb927_05_v5.1	1754489	1755931	-	1443	0
Tb927.5.5590	Tb927_05_v5.1	1764556	1766034	+	1479	0
Tb927.5.5600	Tb927_05_v5.1	1768125	1769603	+	1479	0
Tb927.5.5610	Tb927_05_v5.1	1771888	1773315	+	1428	0
Tb927.5.5620	Tb927_05_v5.1	1775824	1777293	+	1470	0
Tb927.5.5630	Tb927_05_v5.1	1778506	1780110	+	1605	0
Tb927.5.5640	Tb927_05_v5.1	1782018	1783574	+	1557	0
Tb927.5.5650	Tb927_05_v5.1	1785357	1786463	+	1107	0
Tb927.5.5660	Tb927_05_v5.1	1788008	1789201	+	1194	0
Tb927.5.5670	Tb927_05_v5.1	1791306	1792811	+	1506	0
Tb927.5.5680	Tb927_05_v5.1	1795808	1796797	+	990	0
Tb927.5.5690	Tb927_05_v5.1	1799703	1801142	+	1440	0
Tb927.9.100	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	4758;4912;5244	4910;5241;6200	-;-;-	1440	0
Tb927.9.120	Tb927_09_v5.1;Tb927_09_v5.1	7402;7927	7923;8694	-;-	1290	0
Tb927.9.130	Tb927_09_v5.1	10358	11368	-	1011	0
Tb927.9.150	Tb927_09_v5.1;Tb927_09_v5.1	13501;13637	13635;13648	-;-	147	0
Tb927.9.160	Tb927_09_v5.1	15195	16658	-	1464	2
Tb927.9.170	Tb927_09_v5.1	24227	24634	+	408	0
Tb927.9.180	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	26720;26945;27120;27278	26941;27118;27275;27304	+;+;+;+	579	0
Tb927.9.190	Tb927_09_v5.1	27772	29271	+	1500	0
Tb927.9.200	Tb927_09_v5.1	30060	30482	+	423	0
Tb927.9.210	Tb927_09_v5.1;Tb927_09_v5.1	33178;34574	34572;34744	+;+	1566	2
Tb927.9.220	Tb927_09_v5.1;Tb927_09_v5.1	36145;36513	36510;37433	+;+	1287	0
Tb927.9.230	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	39464;39665;40348	39661;40345;40926	+;+;+	1458	0
Tb927.9.240	Tb927_09_v5.1	44189	44638	+	450	0
Tb927.9.250	Tb927_09_v5.1	46465	47922	+	1458	0
Tb927.9.260	Tb927_09_v5.1;Tb927_09_v5.1	54090;54309	54306;54319	+;+	228	0
Tb927.9.270	Tb927_09_v5.1	55140	56666	+	1527	0
Tb927.9.280	Tb927_09_v5.1;Tb927_09_v5.1	58271;58606	58603;58740	+;+	468	0
Tb927.9.290	Tb927_09_v5.1;Tb927_09_v5.1	59525;59675	59671;60520	+;+	993	1
Tb927.9.300	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	62860;63527;64075	63525;64072;64203	+;+;+	1341	0
Tb927.9.310	Tb927_09_v5.1;Tb927_09_v5.1	65552;66855	66850;67067	+;+	1512	0
Tb927.9.320	Tb927_09_v5.1	68440	69249	+	810	0
Tb927.9.330	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	71270;71791;72313	71788;72309;72816	+;+;+	1542	0
Tb927.9.340	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	73874;74179;74400	74176;74397;75317	+;+;+	1440	0
Tb927.9.350	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	76642;76880;76988;77845	76878;76984;77842;78081	+;+;+;+	1434	1
Tb927.9.360	Tb927_09_v5.1;Tb927_09_v5.1	85369;86712	86709;86882	+;+	1512	0
Tb927.9.370	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	88614;88797;89456	88793;89418;89877	+;+;+	1224	0
Tb927.9.380	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	91237;91307;91597	91305;91594;91953	+;+;+	714	0
Tb927.9.390	Tb927_09_v5.1;Tb927_09_v5.1	92470;92689	92685;93783	+;+	1311	0
Tb927.9.400	Tb927_09_v5.1;Tb927_09_v5.1	95344;96253	96249;96918	+;+	1572	0
Tb927.9.410	Tb927_09_v5.1;Tb927_09_v5.1	97488;97831	97829;99021	+;+	1533	1
Tb927.9.420	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	101056;101121;101276;102275	101118;101273;102271;102448	+;+;+;+	1386	0
Tb927.9.430	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	104417;105268;105627	105265;105624;105839	+;+;+	1419	0
Tb927.9.440	Tb927_09_v5.1	107671	109182	+	1512	0
Tb927.9.450	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	110240;110340;110508	110338;110504;110828	+;+;+	585	0
Tb927.9.460	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	111766;111825;112297	111822;112295;113223	+;+;+	1455	1
Tb927.9.470	Tb927_09_v5.1;Tb927_09_v5.1	115047;115302	115298;116390	+;+	1341	0
Tb927.9.480	Tb927_09_v5.1	116448	116624	+	177	0
Tb927.9.490	Tb927_09_v5.1	117956	118357	+	402	0
Tb927.9.500	Tb927_09_v5.1;Tb927_09_v5.1	120035;120887	120885;121517	+;+	1482	0
Tb927.9.510	Tb927_09_v5.1;Tb927_09_v5.1	123603;123837	123833;125261	+;+	1656	0
Tb927.9.520	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	127483;128579;128817	128576;128815;128862	+;+;+	1377	0
Tb927.9.540	Tb927_09_v5.1;Tb927_09_v5.1	131147;131495	131491;132505	+;+	1356	0
Tb927.9.550	Tb927_09_v5.1	133523	133654	+	132	0
Tb927.9.560	Tb927_09_v5.1	135143	136147	+	1005	0
Tb927.9.570	Tb927_09_v5.1	136702	138222	+	1521	0
Tb927.9.580	Tb927_09_v5.1	139203	140801	+	1599	0
Tb927.9.590	Tb927_09_v5.1;Tb927_09_v5.1	142359;142558	142556;142575	+;+	216	0
Tb927.9.600	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	144167;144588;145259;145357;145568	144585;145256;145354;145566;145640	+;+;+;+;+	1467	0
Tb927.9.610	Tb927_09_v5.1	146937	147119	+	183	0
Tb927.9.620	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	148042;148124;148288;148514	148121;148285;148512;148742	+;+;+;+	696	0
Tb927.9.630	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	149227;149315;149521;149831;150036;150506	149312;149518;149827;150033;150503;150728	+;+;+;+;+;+	1491	0
Tb927.9.640	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	152527;152809;152897	152807;152893;154123	+;+;+	1593	0
Tb927.9.650	Tb927_09_v5.1	157898	158491	+	594	4
Tb927.9.660	Tb927_09_v5.1	160736	161764	-	1029	1
Tb927.9.670	Tb927_09_v5.1	164843	165184	-	342	17
Tb927.9.680	Tb927_09_v5.1	166299	167027	-	729	6
Tb927.9.690	Tb927_09_v5.1	168199	169074	-	876	19
Tb927.9.700	Tb927_09_v5.1	170185	170745	-	561	187
Tb927.9.710	Tb927_09_v5.1	171362	172003	+	642	125
Tb927.9.715	Tb927_09_v5.1	172754	172837	-	84	43
Tb927.9.720	Tb927_09_v5.1	179479	179889	+	411	174
Tb927.9.730	Tb927_09_v5.1	179941	180294	+	354	297
Tb927.9.740	Tb927_09_v5.1	182431	182748	+	318	145
Tb927.9.760	Tb927_09_v5.1	185353	185703	+	351	109
Tb927.9.770	Tb927_09_v5.1	185887	186060	-	174	133
Tb927.9.780	Tb927_09_v5.1	186435	186860	+	426	113
Tb927.9.790	Tb927_09_v5.1	188075	188422	+	348	52
Tb927.9.800	Tb927_09_v5.1	189732	190769	+	1038	0
Tb927.9.810	Tb927_09_v5.1	190928	192280	+	1353	0
Tb927.9.820	Tb927_09_v5.1;Tb927_09_v5.1	194090;195572	195570;195704	+;+	1614	0
Tb927.9.830	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	197362;197921;197992;198170;198698	197918;197989;198166;198696;198854	+;+;+;+;+	1485	0
Tb927.9.840	Tb927_09_v5.1	200667	201395	+	729	0
Tb927.9.850	Tb927_09_v5.1;Tb927_09_v5.1	203889;203940	203936;204896	+;+	1005	0
Tb927.9.860	Tb927_09_v5.1	218417	219838	+	1422	1
Tb927.9.870	Tb927_09_v5.1	222215	222454	+	240	0
Tb927.9.880	Tb927_09_v5.1	227472	227567	+	96	0
Tb927.9.890	Tb927_09_v5.1	230804	232255	+	1452	0
Tb927.9.900	Tb927_09_v5.1	234605	236086	+	1482	0
Tb927.9.910	Tb927_09_v5.1	237954	238472	+	519	0
Tb927.9.920	Tb927_09_v5.1	238581	239162	+	582	0
Tb927.9.930	Tb927_09_v5.1	240959	241810	+	852	0
Tb927.9.940	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	244118;245075;245115	245073;245111;245375	+;+;+	1254	0
Tb927.9.950	Tb927_09_v5.1;Tb927_09_v5.1	246897;247079	247073;247468	+;+	567	0
Tb927.9.960	Tb927_09_v5.1	249824	250879	+	1056	0
Tb927.9.970	Tb927_09_v5.1	256172	256261	+	90	0
Tb927.9.990	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	258176;258439;259518	258436;259515;259622	+;+;+	1443	0
Tb927.9.1000	Tb927_09_v5.1	260888	261490	+	603	0
Tb927.9.1010	Tb927_09_v5.1;Tb927_09_v5.1	263865;264935	264932;265123	+;+	1257	0
Tb927.9.1030	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	266604;267259;267292	267257;267288;268059	+;+;+	1452	1
Tb927.9.1040	Tb927_09_v5.1;Tb927_09_v5.1	268656;268795	268793;268887	+;+	231	0
Tb927.9.1050	Tb927_09_v5.1	270770	272275	+	1506	0
Tb927.9.1070	Tb927_09_v5.1	273527	275014	+	1488	0
Tb927.9.1080	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	275810;275886;275964	275884;275960;276140	+;+;+	327	0
Tb927.9.1090	Tb927_09_v5.1	277167	278012	+	846	0
Tb927.9.1100	Tb927_09_v5.1;Tb927_09_v5.1	279468;279521	279518;279754	+;+	285	0
Tb927.9.1110	Tb927_09_v5.1	281609	283069	+	1461	0
Tb927.9.1120	Tb927_09_v5.1	284348	284683	+	336	1
Tb927.9.1130	Tb927_09_v5.1	285556	286908	+	1353	0
Tb927.9.1140	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	288834;289536;289949	289532;289946;290254	+;+;+	1416	0
Tb927.9.1150	Tb927_09_v5.1	292247	292804	+	558	0
Tb927.9.1160	Tb927_09_v5.1	293270	293416	+	147	0
Tb927.9.1170	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	295690;296807;297048	296805;297046;297149	+;+;+	1458	0
Tb927.9.1180	Tb927_09_v5.1;Tb927_09_v5.1	299656;299764	299760;300594	+;+	936	0
Tb927.9.1190	Tb927_09_v5.1	306194	306283	+	90	0
Tb927.9.1200	Tb927_09_v5.1;Tb927_09_v5.1;Tb927_09_v5.1	308170;308278;308511	308274;308508;309365	+;+;+	1191	0
Tb927.9.1210	Tb927_09_v5.1;Tb927_09_v5.1	310591;310781	310779;311050	+;+	459	0
Tb927.9.1220	Tb927_09_v5.1	312482	312643	+	162	0
Tb927.9.1230	Tb927_09_v5.1	313768	314955	+	1188	0
Tb927.9.1240	Tb927_09_v5.1	317272	317298	+	27	0
Tb927.9.1250	Tb927_09_v5.1	319053	320675	+	1623	0
Tb927.9.1280	Tb927_09_v5.1	327682	329262	-	1581	5
Tb927.9.1340	Tb927_09_v5.1	336174	338615	-	2442	1943
Tb927.9.1350	Tb927_09_v5.1	339083	340696	-	1614	2895
Tb927.9.1360	Tb927_09_v5.1	341205	342218	-	1014	378
Tb927.9.1365	Tb927_09_v5.1	342574	342801	-	228	190
Tb927.9.1380	Tb927_09_v5.1	343679	344818	-	1140	1532
Tb927.9.1390	Tb927_09_v5.1	345294	345542	-	249	2123
Tb927.9.1400	Tb927_09_v5.1	345924	347294	-	1371	1289
Tb927.9.1410	Tb927_09_v5.1	347597	349438	-	1842	2772
Tb927.9.1420	Tb927_09_v5.1	349937	350863	-	927	1407
Tb927.9.1440	Tb927_09_v5.1	352475	354928	-	2454	2871
Tb927.9.1470	Tb927_09_v5.1	355382	355852	-	471	1473
Tb927.9.1500	Tb927_09_v5.1	356324	357721	-	1398	725
Tb927.9.1510	Tb927_09_v5.1	358685	360178	-	1494	1052
Tb927.9.1520	Tb927_09_v5.1	361377	361634	-	258	6264
Tb927.9.1530	Tb927_09_v5.1	362158	364362	-	2205	1737
Tb927.9.1540	Tb927_09_v5.1	365301	366596	-	1296	238
Tb927.9.1560	Tb927_09_v5.1	367175	368569	-	1395	1905
Tb927.9.1570	Tb927_09_v5.1	370168	371634	-	1467	458
Tb927.9.1590	Tb927_09_v5.1	372433	372855	-	423	1288
Tb927.9.1600	Tb927_09_v5.1	374226	379043	-	4818	1983
Tb927.9.1610	Tb927_09_v5.1	379838	380491	-	654	701
Tb927.9.1640	Tb927_09_v5.1	380955	381347	-	393	259
Tb927.9.1650	Tb927_09_v5.1	381680	382780	-	1101	970
Tb927.9.1660	Tb927_09_v5.1	383078	383812	-	735	813
Tb927.9.1670	Tb927_09_v5.1	384482	386434	-	1953	332
Tb927.9.1680	Tb927_09_v5.1	387107	387940	-	834	1197
Tb927.9.1700	Tb927_09_v5.1	388870	390675	-	1806	1139
Tb927.9.1710	Tb927_09_v5.1	391189	392586	-	1398	1951
Tb927.9.1720	Tb927_09_v5.1	393274	393945	-	672	1082
Tb927.9.1730	Tb927_09_v5.1	394652	396847	-	2196	991
Tb927.9.1750	Tb927_09_v5.1	398215	411654	-	13440	4585
Tb927.9.1770	Tb927_09_v5.1	412833	421766	-	8934	3749
Tb927.9.1780	Tb927_09_v5.1	423748	425631	-	1884	1829
Tb927.9.1790	Tb927_09_v5.1	425962	426690	-	729	700
Tb927.9.1810	Tb927_09_v5.1	426931	427314	-	384	20824
Tb927.9.1850	Tb927_09_v5.1	427609	427992	-	384	20414
Tb927.9.1880	Tb927_09_v5.1	428422	430131	-	1710	4284
Tb927.9.1910	Tb927_09_v5.1	430978	431625	-	648	865
Tb927.9.1920	Tb927_09_v5.1	432589	432918	-	330	3003
Tb927.9.1940	Tb927_09_v5.1;Tb927_09_v5.1	433506;433506	436676;436880	-;-	3375	2560
Tb927.9.1950	Tb927_09_v5.1	437034	438257	-	1224	1260
Tb927.9.1960	Tb927_09_v5.1	438953	439774	-	822	3403
Tb927.9.1970	Tb927_09_v5.1	445802	447730	-	1929	2003
Tb927.9.1980	Tb927_09_v5.1	448276	450390	-	2115	3012
Tb927.9.2010	Tb927_09_v5.1	452652	454043	-	1392	2885
Tb927.9.2020	Tb927_09_v5.1	455293	455541	-	249	11686
Tb927.9.2030	Tb927_09_v5.1	456532	458340	-	1809	585
Tb927.9.2050	Tb927_09_v5.1	459568	460818	-	1251	1194
Tb927.9.2055	Tb927_09_v5.1	461198	461524	-	327	737
Tb927.9.2060	Tb927_09_v5.1	462248	463309	-	1062	1108
Tb927.9.2070	Tb927_09_v5.1;Tb927_09_v5.1	464283;464283	464891;466529	-;-	2247	2336
Tb927.9.2075	Tb927_09_v5.1	468519	477050	-	8532	8673
Tb927.9.2080	Tb927_09_v5.1	471073	474321	+	3249	3805
Tb927.9.2100	Tb927_09_v5.1	478117	479361	-	1245	2773
Tb927.9.2110	Tb927_09_v5.1	479636	479977	-	342	1968
Tb927.9.2120	Tb927_09_v5.1	480474	481304	-	831	1765
Tb927.9.2130	Tb927_09_v5.1;Tb927_09_v5.1	481949;481949	482953;486226	-;-	4278	4158
Tb927.9.2140	Tb927_09_v5.1	487343	490420	-	3078	1259
Tb927.9.2160	Tb927_09_v5.1	491279	491908	-	630	2176
Tb927.9.2210	Tb927_09_v5.1	493084	493431	-	348	79
Tb927.9.2220	Tb927_09_v5.1	494576	496810	-	2235	724
Tb927.9.2240	Tb927_09_v5.1	499096	501435	-	2340	1551
Tb927.9.2250	Tb927_09_v5.1	502386	503537	-	1152	215
Tb927.9.2260	Tb927_09_v5.1	504553	505752	-	1200	1281
Tb927.9.2270	Tb927_09_v5.1	506220	508409	-	2190	2773
Tb927.9.2280	Tb927_09_v5.1	508770	509069	-	300	1341
Tb927.9.2290	Tb927_09_v5.1	509690	510106	-	417	344
Tb927.9.2310	Tb927_09_v5.1	511127	512497	-	1371	835
Tb927.9.2320	Tb927_09_v5.1	514065	515168	-	1104	901
Tb927.9.2350	Tb927_09_v5.1	516002	519016	-	3015	1131
Tb927.9.2390	Tb927_09_v5.1	520657	521253	-	597	3754
Tb927.9.2400	Tb927_09_v5.1	522081	522665	-	585	545
Tb927.9.2420	Tb927_09_v5.1	523546	524178	-	633	871
Tb927.9.2450	Tb927_09_v5.1	525736	526896	-	1161	1215
Tb927.9.2470	Tb927_09_v5.1	528721	531003	-	2283	6654
Tb927.9.2490	Tb927_09_v5.1	531997	533736	-	1740	908
Tb927.9.2520	Tb927_09_v5.1	534345	558989	-	24645	818
Tb927.9.2550	Tb927_09_v5.1	562606	565734	-	3129	2111
Tb927.9.2560	Tb927_09_v5.1	567728	568579	-	852	731
Tb927.9.2580	Tb927_09_v5.1	569679	570632	-	954	2082
Tb927.9.2590	Tb927_09_v5.1	572247	575513	-	3267	2640
Tb927.9.2600	Tb927_09_v5.1	576424	577113	-	690	847
Tb927.9.2620	Tb927_09_v5.1	578500	580530	-	2031	3495
Tb927.9.2630	Tb927_09_v5.1	581191	586950	-	5760	2576
Tb927.9.2650	Tb927_09_v5.1	588469	590289	-	1821	2906
Tb927.9.2670	Tb927_09_v5.1	590829	591938	-	1110	1329
Tb927.9.2700	Tb927_09_v5.1	593200	594651	-	1452	101
Tb927.9.2730	Tb927_09_v5.1	596626	600762	-	4137	2702
Tb927.9.2760	Tb927_09_v5.1	602935	604545	-	1611	1270
Tb927.9.2780	Tb927_09_v5.1	605459	606487	-	1029	1112
Tb927.9.2800	Tb927_09_v5.1	607251	607898	-	648	241
Tb927.9.2860	Tb927_09_v5.1	609472	610758	-	1287	6
Tb927.9.2811	Tb927_09_v5.1	612533	613765	-	1233	15
Tb927.9.2815	Tb927_09_v5.1	615554	616858	-	1305	8
Tb927.9.2840	Tb927_09_v5.1	618630	619811	-	1182	1
Tb927.9.2845	Tb927_09_v5.1	621584	622888	-	1305	12
Tb927.9.2853	Tb927_09_v5.1	624669	625973	-	1305	8
Tb927.9.2855	Tb927_09_v5.1	627747	629069	-	1323	13
Tb927.9.2861	Tb927_09_v5.1	630706	631992	-	1287	8
Tb927.9.2865	Tb927_09_v5.1	633766	635034	-	1269	3
Tb927.9.2871	Tb927_09_v5.1	636805	638073	-	1269	7
Tb927.9.2875	Tb927_09_v5.1	639844	641202	-	1359	17
Tb927.9.2881	Tb927_09_v5.1	642974	644206	-	1233	1
Tb927.9.2885	Tb927_09_v5.1	645989	648424	-	2436	33
Tb927.9.2891	Tb927_09_v5.1	650055	651899	-	1845	181
Tb927.9.2900	Tb927_09_v5.1	653905	661800	-	7896	4676
Tb927.9.2910	Tb927_09_v5.1	662685	663227	-	543	871
Tb927.9.2940	Tb927_09_v5.1	664883	666370	-	1488	2183
Tb927.9.2980	Tb927_09_v5.1	668204	668449	-	246	825
Tb927.9.2990	Tb927_09_v5.1	669184	669840	-	657	1148
Tb927.9.3000	Tb927_09_v5.1	670740	671288	-	549	717
Tb927.9.3010	Tb927_09_v5.1	671977	672207	-	231	723
Tb927.9.3030	Tb927_09_v5.1	672636	673766	-	1131	1390
Tb927.9.3080	Tb927_09_v5.1	674703	675989	-	1287	1181
Tb927.9.3100	Tb927_09_v5.1	676583	677788	-	1206	1167
Tb927.9.3120	Tb927_09_v5.1	678328	681369	-	3042	2469
Tb927.9.3130	Tb927_09_v5.1	681906	683606	-	1701	1922
Tb927.9.3170	Tb927_09_v5.1	685684	686274	-	591	5664
Tb927.9.3260	Tb927_09_v5.1	692044	692448	+	405	384
Tb927.9.3280	Tb927_09_v5.1	693332	694483	+	1152	1455
Tb927.9.3290	Tb927_09_v5.1	696307	696477	+	171	848
Tb927.9.3340	Tb927_09_v5.1	696905	697411	+	507	1024
Tb927.9.3350	Tb927_09_v5.1	697576	698796	+	1221	2347
Tb927.9.3360	Tb927_09_v5.1	699144	700214	+	1071	1732
Tb927.9.3370	Tb927_09_v5.1	700627	700950	+	324	2106
Tb927.9.3390	Tb927_09_v5.1	701471	702232	+	762	1550
Tb927.9.3400	Tb927_09_v5.1	704087	707242	+	3156	3815
Tb927.9.3410	Tb927_09_v5.1	707669	708049	+	381	1361
Tb927.9.3440	Tb927_09_v5.1	708492	709448	+	957	3234
Tb927.9.3460	Tb927_09_v5.1	710166	712556	+	2391	2268
Tb927.9.3470	Tb927_09_v5.1	712911	713702	+	792	1201
Tb927.9.3480	Tb927_09_v5.1	714157	714708	+	552	1314
Tb927.9.3490	Tb927_09_v5.1	715452	716222	+	771	654
Tb927.9.3530	Tb927_09_v5.1	717565	717825	+	261	624
Tb927.9.3540	Tb927_09_v5.1	718167	718520	+	354	845
Tb927.9.3550	Tb927_09_v5.1	718910	719170	+	261	1162
Tb927.9.3560	Tb927_09_v5.1	719727	720527	+	801	450
Tb927.9.3580	Tb927_09_v5.1	721392	723131	+	1740	943
Tb927.9.3590	Tb927_09_v5.1	723546	724100	+	555	892
Tb927.9.3600	Tb927_09_v5.1	724578	725504	+	927	2209
Tb927.9.3620	Tb927_09_v5.1	725951	726646	+	696	288
Tb927.9.3630	Tb927_09_v5.1	727234	728895	+	1662	1388
Tb927.9.3640	Tb927_09_v5.1	729422	730018	+	597	2447
Tb927.9.3650	Tb927_09_v5.1	730832	732907	+	2076	2060
Tb927.9.3670	Tb927_09_v5.1	733443	735038	+	1596	1359
Tb927.9.3680	Tb927_09_v5.1	735461	739561	+	4101	5678
Tb927.9.3750	Tb927_09_v5.1	747848	748333	+	486	469
Tb927.9.3760	Tb927_09_v5.1	748720	749769	+	1050	1516
Tb927.9.3770	Tb927_09_v5.1	750397	751059	+	663	450
Tb927.9.3780	Tb927_09_v5.1	751314	751574	+	261	2586
Tb927.9.3800	Tb927_09_v5.1	752798	754594	+	1797	2465
Tb927.9.3820	Tb927_09_v5.1	755001	755855	+	855	769
Tb927.9.3840	Tb927_09_v5.1	756359	756712	+	354	583
Tb927.9.3850	Tb927_09_v5.1	756923	757453	+	531	676
Tb927.9.3860	Tb927_09_v5.1	758195	760393	+	2199	2041
Tb927.9.3870	Tb927_09_v5.1	760986	763100	+	2115	1991
Tb927.9.3880	Tb927_09_v5.1	763557	764513	+	957	690
Tb927.9.3920	Tb927_09_v5.1	764776	765384	+	609	27524
Tb927.9.3930	Tb927_09_v5.1	766504	767589	+	1086	819
Tb927.9.3970	Tb927_09_v5.1	768881	769495	+	615	1251
Tb927.9.3990	Tb927_09_v5.1	771263	771871	+	609	42294
Tb927.9.4000	Tb927_09_v5.1	772991	774076	+	1086	1644
Tb927.9.4040	Tb927_09_v5.1	775368	775982	+	615	1040
Tb927.9.4050	Tb927_09_v5.1	777737	779392	+	1656	1358
Tb927.9.4080	Tb927_09_v5.1	781021	784965	+	3945	219
Tb927.9.4130	Tb927_09_v5.1	787126	787878	+	753	80
Tb927.9.4190	Tb927_09_v5.1	790886	792982	+	2097	2109
Tb927.9.4200	Tb927_09_v5.1	794396	796522	+	2127	4140
Tb927.9.4210	Tb927_09_v5.1	797920	800028	+	2109	2753
Tb927.9.4230	Tb927_09_v5.1	801419	803527	+	2109	2836
Tb927.9.4250	Tb927_09_v5.1	804802	805917	+	1116	1634
Tb927.9.4290	Tb927_09_v5.1	806961	807713	+	753	1234
Tb927.9.4300	Tb927_09_v5.1	808291	809973	+	1683	1873
Tb927.9.4310	Tb927_09_v5.1	810382	811365	+	984	750
Tb927.9.4350	Tb927_09_v5.1	814603	817248	+	2646	3491
